Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Age Group,Day of Week,Month,Quarter
135,2023-02-26,CUST135,Male,20,Clothing,2,25,50,18-25,Sunday,February,1
136,2023-03-20,CUST136,Male,44,Electronics,2,300,600,36-45,Monday,March,1
137,2023-11-18,CUST137,Male,46,Beauty,2,500,1000,46-55,Saturday,November,4
138,2023-03-23,CUST138,Male,49,Clothing,4,50,200,46-55,Thursday,March,1
139,2023-12-15,CUST139,Male,36,Beauty,4,500,2000,36-45,Friday,December,4
140,2023-08-05,CUST140,Male,38,Electronics,1,30,30,36-45,Saturday,August,3
141,2023-11-02,CUST141,Female,22,Electronics,1,50,50,18-25,Thursday,November,4
142,2023-02-02,CUST142,Male,35,Electronics,4,300,1200,36-45,Thursday,February,1
143,2023-07-17,CUST143,Female,45,Clothing,1,50,50,46-55,Monday,July,3
144,2023-07-15,CUST144,Female,59,Beauty,3,500,1500,56-65,Saturday,July,3
145,2023-11-02,CUST145,Female,39,Clothing,3,25,75,36-45,Thursday,November,4
146,2023-08-28,CUST146,Male,38,Clothing,4,50,200,36-45,Monday,August,3
147,2023-09-28,CUST147,Male,23,Electronics,1,300,300,18-25,Thursday,September,3
148,2023-05-09,CUST148,Male,18,Clothing,2,30,60,18-25,Tuesday,May,2
149,2023-10-11,CUST149,Male,22,Clothing,3,25,75,18-25,Wednesday,October,4
150,2023-01-06,CUST150,Female,58,Electronics,4,30,120,56-65,Friday,January,1
151,2023-12-15,CUST151,Male,29,Clothing,1,50,50,26-35,Friday,December,4
152,2023-02-28,CUST152,Male,43,Electronics,4,500,2000,36-45,Tuesday,February,1
153,2023-12-16,CUST153,Male,63,Electronics,2,500,1000,56-65,Saturday,December,4
154,2023-10-02,CUST154,Male,51,Electronics,3,300,900,46-55,Monday,October,4
155,2023-05-17,CUST155,Male,31,Electronics,4,500,2000,26-35,Wednesday,May,2
156,2023-11-25,CUST156,Female,43,Clothing,4,25,100,36-45,Saturday,November,4
157,2023-06-24,CUST157,Male,62,Electronics,4,500,2000,56-65,Saturday,June,2
158,2023-02-27,CUST158,Female,44,Electronics,2,300,600,36-45,Monday,February,1
159,2023-05-31,CUST159,Male,26,Clothing,4,50,200,26-35,Wednesday,May,2
160,2023-08-11,CUST160,Female,43,Clothing,2,50,100,36-45,Friday,August,3
161,2023-03-22,CUST161,Male,64,Beauty,2,500,1000,56-65,Wednesday,March,1
162,2023-08-21,CUST162,Male,39,Clothing,2,30,60,36-45,Monday,August,3
163,2023-01-02,CUST163,Female,64,Clothing,3,50,150,56-65,Monday,January,1
164,2023-05-15,CUST164,Female,47,Beauty,3,500,1500,46-55,Monday,May,2
165,2023-09-14,CUST165,Female,60,Clothing,4,300,1200,56-65,Thursday,September,3
166,2023-04-02,CUST166,Male,34,Clothing,4,500,2000,26-35,Sunday,April,2
167,2023-09-17,CUST167,Female,43,Clothing,3,50,150,36-45,Sunday,September,3
168,2023-02-24,CUST168,Male,53,Clothing,1,300,300,46-55,Friday,February,1
169,2023-11-17,CUST169,Male,18,Beauty,3,500,1500,18-25,Friday,November,4
170,2023-06-02,CUST170,Female,25,Clothing,2,25,50,26-35,Friday,June,2
171,2023-11-24,CUST171,Female,52,Clothing,3,300,900,46-55,Friday,November,4
172,2023-09-17,CUST172,Male,32,Beauty,2,25,50,26-35,Sunday,September,3
173,2023-11-08,CUST173,Male,64,Electronics,4,30,120,56-65,Wednesday,November,4
174,2023-04-12,CUST174,Female,39,Beauty,1,300,300,36-45,Wednesday,April,2
175,2023-03-20,CUST175,Female,31,Electronics,4,25,100,26-35,Monday,March,1
176,2023-07-11,CUST176,Female,43,Beauty,2,50,100,36-45,Tuesday,July,3
177,2023-03-24,CUST177,Male,45,Beauty,2,50,100,46-55,Friday,March,1
178,2023-10-04,CUST178,Male,40,Clothing,2,30,60,36-45,Wednesday,October,4
179,2023-09-29,CUST179,Male,31,Electronics,1,300,300,26-35,Friday,September,3
180,2023-01-01,CUST180,Male,41,Clothing,3,300,900,36-45,Sunday,January,1
181,2023-11-03,CUST181,Male,19,Electronics,4,300,1200,18-25,Friday,November,4
182,2023-06-15,CUST182,Male,62,Beauty,4,30,120,56-65,Thursday,June,2
183,2023-09-08,CUST183,Female,43,Beauty,3,300,900,36-45,Friday,September,3
184,2023-01-10,CUST184,Male,31,Electronics,4,50,200,26-35,Tuesday,January,1
185,2023-02-27,CUST185,Male,24,Clothing,1,25,25,18-25,Monday,February,1
186,2023-07-05,CUST186,Male,20,Clothing,4,50,200,18-25,Wednesday,July,3
187,2023-06-07,CUST187,Female,64,Clothing,2,50,100,56-65,Wednesday,June,2
188,2023-05-03,CUST188,Male,40,Clothing,3,25,75,36-45,Wednesday,May,2
189,2023-01-30,CUST189,Male,63,Beauty,1,50,50,56-65,Monday,January,1
190,2023-05-04,CUST190,Female,60,Beauty,3,30,90,56-65,Thursday,May,2
191,2023-10-18,CUST191,Male,64,Beauty,1,25,25,56-65,Wednesday,October,4
192,2023-02-10,CUST192,Male,62,Beauty,2,50,100,56-65,Friday,February,1
193,2023-02-13,CUST193,Male,35,Beauty,3,500,1500,36-45,Monday,February,1
194,2023-09-06,CUST194,Male,55,Clothing,4,50,200,56-65,Wednesday,September,3
195,2023-02-05,CUST195,Male,52,Clothing,1,30,30,46-55,Sunday,February,1
196,2023-09-30,CUST196,Female,32,Clothing,3,300,900,26-35,Saturday,September,3
197,2023-03-06,CUST197,Female,42,Clothing,4,50,200,36-45,Monday,March,1
198,2023-03-07,CUST198,Female,54,Beauty,3,300,900,46-55,Tuesday,March,1
199,2023-12-04,CUST199,Male,45,Beauty,3,500,1500,46-55,Monday,December,4
200,2023-09-01,CUST200,Male,27,Beauty,3,50,150,26-35,Friday,September,3
201,2023-10-09,CUST201,Male,56,Electronics,1,25,25,56-65,Monday,October,4
202,2023-03-26,CUST202,Female,34,Clothing,4,300,1200,26-35,Sunday,March,1
203,2023-05-16,CUST203,Male,56,Clothing,2,500,1000,56-65,Tuesday,May,2
204,2023-09-28,CUST204,Male,39,Beauty,1,25,25,36-45,Thursday,September,3
205,2023-11-07,CUST205,Female,43,Clothing,1,25,25,36-45,Tuesday,November,4
206,2023-08-05,CUST206,Male,61,Clothing,1,25,25,56-65,Saturday,August,3
207,2023-04-19,CUST207,Female,42,Beauty,2,25,50,36-45,Wednesday,April,2
208,2023-10-04,CUST208,Female,34,Electronics,4,50,200,26-35,Wednesday,October,4
209,2023-12-20,CUST209,Female,30,Electronics,4,50,200,26-35,Wednesday,December,4
210,2023-04-13,CUST210,Male,37,Electronics,4,50,200,36-45,Thursday,April,2
211,2024-01-01,CUST211,Male,42,Beauty,3,500,1500,36-45,Monday,January,1
212,2023-06-09,CUST212,Male,21,Clothing,3,500,1500,18-25,Friday,June,2
213,2023-07-24,CUST213,Male,27,Beauty,3,500,1500,26-35,Monday,July,3
214,2023-12-10,CUST214,Male,20,Beauty,2,30,60,18-25,Sunday,December,4
215,2023-11-29,CUST215,Male,58,Clothing,3,500,1500,56-65,Wednesday,November,4
216,2023-07-11,CUST216,Male,62,Electronics,2,50,100,56-65,Tuesday,July,3
217,2023-08-13,CUST217,Female,35,Electronics,4,50,200,36-45,Sunday,August,3
218,2023-09-22,CUST218,Male,64,Beauty,3,30,90,56-65,Friday,September,3
219,2023-08-20,CUST219,Female,53,Electronics,3,30,90,46-55,Sunday,August,3
220,2023-03-03,CUST220,Male,64,Beauty,1,500,500,56-65,Friday,March,1
221,2023-05-07,CUST221,Male,39,Beauty,2,300,600,36-45,Sunday,May,2
222,2023-04-26,CUST222,Male,51,Clothing,4,30,120,46-55,Wednesday,April,2
223,2023-02-02,CUST223,Female,64,Clothing,1,25,25,56-65,Thursday,February,1
224,2023-06-23,CUST224,Female,25,Clothing,1,50,50,26-35,Friday,June,2
225,2023-01-11,CUST225,Female,57,Beauty,4,25,100,56-65,Wednesday,January,1
226,2023-10-29,CUST226,Female,61,Clothing,1,50,50,56-65,Sunday,October,4
227,2023-10-11,CUST227,Male,36,Electronics,2,50,100,36-45,Wednesday,October,4
228,2023-04-28,CUST228,Female,59,Electronics,2,30,60,56-65,Friday,April,2
229,2023-10-29,CUST229,Male,58,Beauty,3,30,90,56-65,Sunday,October,4
230,2023-04-23,CUST230,Male,54,Beauty,1,25,25,46-55,Sunday,April,2
231,2023-01-04,CUST231,Female,23,Clothing,3,50,150,18-25,Wednesday,January,1
232,2023-02-06,CUST232,Female,43,Beauty,1,25,25,36-45,Monday,February,1
233,2023-12-29,CUST233,Female,51,Beauty,2,300,600,46-55,Friday,December,4
234,2023-11-20,CUST234,Female,62,Electronics,2,25,50,56-65,Monday,November,4
235,2023-01-31,CUST235,Female,23,Electronics,2,500,1000,18-25,Tuesday,January,1
236,2023-04-28,CUST236,Female,54,Clothing,1,25,25,46-55,Friday,April,2
237,2023-02-04,CUST237,Female,50,Beauty,2,500,1000,46-55,Saturday,February,1
238,2023-01-17,CUST238,Female,39,Beauty,1,500,500,36-45,Tuesday,January,1
239,2023-06-19,CUST239,Male,38,Electronics,3,500,1500,36-45,Monday,June,2
240,2023-02-06,CUST240,Female,23,Beauty,1,300,300,18-25,Monday,February,1
241,2023-09-21,CUST241,Female,23,Electronics,3,25,75,18-25,Thursday,September,3
242,2023-05-02,CUST242,Male,21,Clothing,1,25,25,18-25,Tuesday,May,2
243,2023-05-23,CUST243,Female,47,Electronics,3,300,900,46-55,Tuesday,May,2
244,2023-12-09,CUST244,Male,28,Beauty,2,50,100,26-35,Saturday,December,4
245,2023-09-06,CUST245,Male,47,Clothing,3,30,90,46-55,Wednesday,September,3
246,2023-04-20,CUST246,Female,48,Electronics,2,25,50,46-55,Thursday,April,2
247,2023-10-04,CUST247,Male,41,Electronics,2,30,60,36-45,Wednesday,October,4
248,2023-03-09,CUST248,Male,26,Clothing,3,300,900,26-35,Thursday,March,1
249,2023-10-20,CUST249,Male,20,Clothing,1,50,50,18-25,Friday,October,4
250,2023-10-23,CUST250,Male,48,Electronics,1,50,50,46-55,Monday,October,4
251,2023-08-31,CUST251,Female,57,Beauty,4,50,200,56-65,Thursday,August,3
252,2023-05-05,CUST252,Male,54,Electronics,1,300,300,46-55,Friday,May,2
253,2023-08-31,CUST253,Female,53,Clothing,4,500,2000,46-55,Thursday,August,3
254,2023-07-28,CUST254,Male,41,Electronics,1,500,500,36-45,Friday,July,3
255,2023-04-08,CUST255,Male,48,Clothing,1,30,30,46-55,Saturday,April,2
256,2023-02-18,CUST256,Male,23,Clothing,2,500,1000,18-25,Saturday,February,1
257,2023-02-19,CUST257,Male,19,Beauty,4,500,2000,18-25,Sunday,February,1
258,2023-12-04,CUST258,Female,37,Clothing,1,50,50,36-45,Monday,December,4
259,2023-08-09,CUST259,Female,45,Clothing,4,50,200,46-55,Wednesday,August,3
260,2023-07-01,CUST260,Male,28,Beauty,2,30,60,26-35,Saturday,July,3
261,2023-08-05,CUST261,Male,21,Clothing,2,25,50,18-25,Saturday,August,3
262,2023-07-30,CUST262,Female,32,Beauty,4,30,120,26-35,Sunday,July,3
263,2023-08-28,CUST263,Male,23,Beauty,2,30,60,18-25,Monday,August,3
264,2023-01-28,CUST264,Male,47,Clothing,3,300,900,46-55,Saturday,January,1
265,2023-12-11,CUST265,Male,55,Clothing,3,300,900,56-65,Monday,December,4
266,2023-12-01,CUST266,Female,19,Electronics,2,30,60,18-25,Friday,December,4
267,2023-11-27,CUST267,Female,32,Beauty,3,30,90,26-35,Monday,November,4
268,2023-02-20,CUST268,Female,28,Electronics,1,30,30,26-35,Monday,February,1
269,2023-02-01,CUST269,Male,25,Clothing,4,500,2000,26-35,Wednesday,February,1
270,2023-07-26,CUST270,Male,43,Electronics,1,300,300,36-45,Wednesday,July,3
271,2023-06-23,CUST271,Female,62,Beauty,4,30,120,56-65,Friday,June,2
272,2023-02-25,CUST272,Female,61,Electronics,2,50,100,56-65,Saturday,February,1
273,2023-05-08,CUST273,Female,22,Beauty,1,50,50,18-25,Monday,May,2
274,2023-04-09,CUST274,Female,23,Clothing,2,500,1000,18-25,Sunday,April,2
275,2023-04-08,CUST275,Male,43,Clothing,2,500,1000,36-45,Saturday,April,2
276,2023-10-02,CUST276,Female,21,Beauty,4,25,100,18-25,Monday,October,4
277,2023-08-18,CUST277,Male,36,Clothing,4,25,100,36-45,Friday,August,3
278,2023-03-13,CUST278,Female,37,Clothing,4,25,100,36-45,Monday,March,1
279,2023-08-05,CUST279,Male,50,Clothing,1,500,500,46-55,Saturday,August,3
280,2023-04-04,CUST280,Female,37,Clothing,3,500,1500,36-45,Tuesday,April,2
281,2023-05-23,CUST281,Female,29,Beauty,4,500,2000,26-35,Tuesday,May,2
282,2023-08-25,CUST282,Female,64,Electronics,4,50,200,56-65,Friday,August,3
283,2023-05-08,CUST283,Female,18,Electronics,1,500,500,18-25,Monday,May,2
284,2023-02-08,CUST284,Male,43,Clothing,4,50,200,36-45,Wednesday,February,1
285,2023-08-15,CUST285,Female,31,Electronics,1,25,25,26-35,Tuesday,August,3
286,2023-10-09,CUST286,Male,55,Electronics,2,25,50,56-65,Monday,October,4
287,2023-02-20,CUST287,Male,54,Clothing,4,25,100,46-55,Monday,February,1
288,2023-01-26,CUST288,Male,28,Clothing,4,30,120,26-35,Thursday,January,1
289,2023-11-30,CUST289,Male,53,Electronics,2,30,60,46-55,Thursday,November,4
290,2023-10-04,CUST290,Female,30,Beauty,2,300,600,26-35,Wednesday,October,4
291,2023-01-08,CUST291,Male,60,Clothing,2,300,600,56-65,Sunday,January,1
292,2023-02-17,CUST292,Male,20,Beauty,4,300,1200,18-25,Friday,February,1
293,2023-05-02,CUST293,Male,50,Electronics,3,30,90,46-55,Tuesday,May,2
294,2023-03-27,CUST294,Female,23,Clothing,3,30,90,18-25,Monday,March,1
295,2023-07-28,CUST295,Female,27,Beauty,3,300,900,26-35,Friday,July,3
296,2023-09-06,CUST296,Female,22,Clothing,4,300,1200,18-25,Wednesday,September,3
297,2023-09-04,CUST297,Female,40,Electronics,2,500,1000,36-45,Monday,September,3
298,2023-04-20,CUST298,Male,27,Beauty,4,300,1200,26-35,Thursday,April,2
299,2023-07-25,CUST299,Male,61,Electronics,2,500,1000,56-65,Tuesday,July,3
300,2023-01-31,CUST300,Female,19,Electronics,4,50,200,18-25,Tuesday,January,1
301,2023-03-26,CUST301,Male,30,Clothing,4,30,120,26-35,Sunday,March,1
302,2023-07-14,CUST302,Male,57,Beauty,2,300,600,56-65,Friday,July,3
303,2023-01-02,CUST303,Male,19,Electronics,3,30,90,18-25,Monday,January,1
304,2023-07-19,CUST304,Female,37,Electronics,2,30,60,36-45,Wednesday,July,3
305,2023-05-16,CUST305,Female,18,Beauty,1,30,30,18-25,Tuesday,May,2
306,2023-08-21,CUST306,Male,54,Electronics,1,50,50,46-55,Monday,August,3
307,2023-05-27,CUST307,Female,26,Electronics,2,25,50,26-35,Saturday,May,2
308,2023-08-05,CUST308,Female,34,Beauty,4,300,1200,26-35,Saturday,August,3
309,2023-12-23,CUST309,Female,26,Beauty,1,25,25,26-35,Saturday,December,4
310,2023-10-12,CUST310,Female,28,Beauty,1,25,25,26-35,Thursday,October,4
311,2023-12-05,CUST311,Female,32,Beauty,4,25,100,26-35,Tuesday,December,4
312,2023-09-07,CUST312,Male,41,Clothing,4,30,120,36-45,Thursday,September,3
313,2023-03-21,CUST313,Female,55,Beauty,3,500,1500,56-65,Tuesday,March,1
314,2023-04-08,CUST314,Male,52,Clothing,4,30,120,46-55,Saturday,April,2
315,2023-06-01,CUST315,Male,47,Clothing,2,30,60,46-55,Thursday,June,2
316,2023-04-22,CUST316,Female,48,Clothing,2,25,50,46-55,Saturday,April,2
317,2023-01-30,CUST317,Male,22,Electronics,3,30,90,18-25,Monday,January,1
318,2023-10-24,CUST318,Male,61,Clothing,1,25,25,56-65,Tuesday,October,4
319,2023-10-05,CUST319,Male,31,Clothing,1,500,500,26-35,Thursday,October,4
320,2023-02-01,CUST320,Female,28,Electronics,4,300,1200,26-35,Wednesday,February,1
321,2023-06-10,CUST321,Female,26,Electronics,2,25,50,26-35,Saturday,June,2
